"Story","Title","Result","Date","Stability","Duration (s)"
"Buscar Agencia dos Correios de Acordo com um endereco","A busca comeca","SUCCESS","2018-01-22T13:47:39.025-02:00","0.0","22.36"
"Cadastrar um usuario no site Automation Practice","Cadastrar usuario um","SUCCESS","2018-01-18T11:58:41.335-02:00","0.0","48.24"
"Buscar Endereco nos Correios passando CEP","Comeco o teste","SUCCESS","2018-01-19T11:04:34.115-02:00","0.0","12.09"
"Comprar Ingresso Thermas dos Laranjais","Comprar Ingresso Thermas dos Laranjais","SUCCESS","2018-01-24T11:56:03.463-02:00","0.0","78.35"
"Consultar se há promoção no trajeto Angra dos Reis/Rio de Janeiro","Consulta Prmocoes em Angra dos Reis","SUCCESS","2018-01-24T12:34:31.853-02:00","0.0","34.41"
"Consultar se ha promocao no trajeto Angra dos Reis/Rio de Janeiro","Consulta Prmocoes em Angra dos Reis","SUCCESS","2018-01-24T12:54:57.029-02:00","0.0","54.13"
"Adicionar ao carrinho um item da seção Produtos Reembalados","Para adicionar um item ao carrinho","SUCCESS","2018-01-26T14:56:57.232-02:00","0.0","37.35"
"Buscar CEP nos Correios utilizando Endereco","Para comecar a busca","SUCCESS","2018-01-19T10:39:08.341-02:00","0.0","28.9"
"Pesquisar e selecionar um hotel cinco estrelas no Rio de Janeiro","Pesquisa no Hotel Urbano por um hotel cinco estrelas","SUCCESS","2018-01-24T08:36:49.828-02:00","0.0","71.12"
"Reservar uma diaria um hotel cinco estrelas em São Paulo","Pesquisa no Hotel Urbano por um hotel cinco estrelas e fazer uma diaria","SUCCESS","2018-01-26T13:58:15.524-02:00","0.0","68.14"
"Pesquisar voos de São Paulo para Salvador","Pesquisar voos de São Paulo para Salvador","SUCCESS","2018-01-24T10:35:15.118-02:00","0.0","48.33"
"Buscar Endereco nos Correios passando CEP","Teste de Buscar Endereco nos Correios passando CEP","SUCCESS","2018-01-19T11:12:52.690-02:00","0.0","12.3"
"Selecionar Precos e Prazos da RSI Osasco a RSI Alphaville","Teste para Selecionar Precos e Prazos da RSI Osasco e RSI Alphaville","SUCCESS","2018-01-22T14:00:36.520-02:00","0.0","28.71"
"Selecionar Precos e Prazos um CEP A a CEP B","Teste para Selecionar Precos e Prazos um CEP A a CEP B","SUCCESS","2018-01-22T10:11:38.686-02:00","0.0","25.88"
